game_slug,share_code,make,model,year,car_class,pi_rating,tune_type,drivetrain,track,creator_gamertag,title,description,source_url
fh5,132001831,Lotus,Esprit Turbo,1980,B,700,road,RWD,Seasonal Reward Car,LogikJ,B Road i6,"RWD, 3.2L BMW i6, No Aero, Stock Rims. Manual & Clutch Recommended. Strong RWD, 01:03.8xx Estadio Circuit. Feels nice & easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,972812698,Lotus,Esprit Turbo,1980,B,700,road,AWD,S34 Winter (Week 3),SlowBakedPanda,290 No Aero V3,"AWD, 3.2L BMW i6, No Aero, Stock Rims. Feels fairly nice & easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,857301862,Lotus,Esprit Turbo,1980,B,700,road,RWD,,K1Z Bard,Purist,"RWD, Stock Engine w/ Anti-Lag Turbo, No Aero, Stock Rims, Purist. Manual & Clutch Recommended. Feels nice & easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,383614609,Lotus,Esprit Turbo,1980,A,800,road,RWD,,JakeGTR9,35 Accel,"RWD, 3.2L BMW i6, Full Aero, Stock Rims. Manual & Clutch Recommended. Strong RWD,00:49.750 Lookout Circuit & 01:03.881 Tierra Prospera Circuit. Feels nice & fairly easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,107683362,Lotus,Esprit Turbo,1980,A,800,road,RWD,,CybrexzzZ,HMC 03.2,"RWD, 3.2L BMW i6 w/ Anti-Lag Turbo, No Aero, Race Slicks, Dry Only. Manual & Clutch Recommended. Strong RWD, 01:03.2xx Horizon Mexico Circuit. Feels nice & fairly easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,164166872,Lotus,Esprit Turbo,1980,A,800,road,AWD,,Mustuff124,A Road,"AWD, 3.2L BMW i6, Full Aero, Stock Rims. Feels nice & easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,118602807,Lotus,Esprit Turbo,1980,A,800,dirt,AWD,,LogikJ,A Dirt No Aero,"AWD, 3.2L BMW i6 w/ Anti-Lag Turbo, No Aero, Stock Rims, Offroad Race Tires. Good Dirt,01:05.575 Teotihuacan Scramble & 01:10.062 River Scramble. Feels nice & fairly easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,854007008,Lotus,Esprit Turbo,1980,A,800,dirt,AWD,,PTW Subzero,Less Grip,"AWD, 5.2L Ford V8, Full Aero, Offroad Race Tires. Good Dirt,01:10.190 River Scramble. Feels nice & fairly easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,105886665,Lotus,Esprit Turbo,1980,B,700,dirt,AWD,,LogikJ,B Dirt No Aero,"AWD, 3.2L BMW i6, No Aero, Stock Rims, Offroad Race Tires. Feels nice & easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,894255336,BMW,M635 CSi,1986,B,700,road,RWD,Seasonal Reward Car,furtiveee,Purist 9.595 HMC,"RWD, Stock Engine, No Aero, Stock Rims, Purist. Manual & Clutch Recommended. Very Strong RWD, 01:09.595 Horizon Mexico Circuit. Feels nice & fairly easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,168599004,BMW,M635 CSi,1986,B,700,road,RWD,S34 Autumn (Week 2),TheDannny,Pretty Gooz,"RWD, 3.2L BMW i6, No Aero. Manual & Clutch Recommended. Very Strong RWD. Feels nice & easy to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,908191684,BMW,M635 CSi,1986,A,800,road,RWD,,JakeGTR9,i6 No Aero,"RWD, 3.2L BMW i6, No Aero, Stock Rims, Rally Tires. Manual & Clutch Recommended. Feels fairly nice and fun to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
fh5,644163838,BMW,M635 CSi,1986,A,800,road,RWD,,PTW Cirno,Estadio 56.2,"RWD, 3.0L Toyota Racing 2JZ i6T w/ Anti-Lag Turbo, Full Aero, Drift Tires, Dry Only. Manual & Clutch Recommended. Strong RWD Powerbuild,00:56.282 Estadio Circuit. Feels decent but somewhat challenging to drive.",https://docs.google.com/spreadsheets/d/1mIJQIalcnsRUkwReVpmMlcaw17dYZtk-Xejwk_jSFJo/htmlview
